order,m,N,condA,normB,stab_500,stab_1000,stab_2000,stab_4000,stab_10000
3,1,3,223.5557927873662,0.1329869433770331,True,True,True,True,True
3,1,3,1146.7956645774,0.07424258427956525,True,True,True,True,True
3,1,3,12.390640126972134,0.10838118232891539,True,True,True,True,True
3,1,3,14.145673222261008,0.0925167619483182,False,False,True,True,True
3,1,4,8.851540021226485,0.06937442304830198,True,True,True,True,True
3,1,4,8.144782132605096,0.08913311841517492,True,True,True,True,True
3,1,4,25.065807626943172,0.03278723200118844,True,True,True,True,True
3,1,4,119.97266742172467,0.06779944010786768,False,False,False,False,True
3,1,4,39.24072011634587,0.06913394434575287,True,True,True,True,True
3,1,4,32.41110284198825,0.19128714749611422,False,False,True,True,True
3,1,4,10.01159678797381,0.09382530461779172,True,True,True,True,True
3,1,4,61.49318617983901,0.12316665692245882,True,True,True,True,True
3,1,4,5.998207217051499,0.1356694136346672,True,True,True,True,True
3,1,4,103.26663959158626,0.16818092167787718,True,True,True,True,True
3,1,4,20.614465076655684,0.03736001688180225,False,False,False,False,True
3,1,4,28.550541125625543,0.07431697423432573,True,True,True,True,True
3,1,4,9.801928063454499,0.06919582833902081,True,True,True,True,True
3,1,4,19.283545962742313,0.1159123998712503,True,True,True,True,True
3,1,4,82.45196266371984,0.2771450080340473,True,True,True,True,True
3,1,4,1692.9356450373973,0.07171153666394844,True,True,True,True,True
3,1,4,14.145587551180562,0.1828888815442843,True,True,True,True,True
3,1,4,153.54269873244152,0.04716791716630377,True,True,True,True,True
3,1,4,38.897676460938094,0.093999358177284,True,True,True,True,True
3,1,4,16.77603990831524,0.04793742962216116,True,True,True,True,True
3,1,4,29.031561023633202,0.08044978779957675,False,False,False,True,True
3,1,4,11.657578797975459,0.11901978179187041,True,True,True,True,True
3,1,4,16.11487434374426,0.0858152597526827,True,True,True,True,True
3,1,4,64.61007337038674,0.07757000638092171,True,True,True,True,True
3,1,4,56.63140941467083,0.12039675456314797,False,False,False,False,False
3,1,4,211.36856922408927,0.13561615201275998,True,True,True,True,True
3,1,4,15.784048844459289,0.09149193519838622,True,True,True,True,True
3,1,4,18.036662304938673,0.15999392863455203,True,True,True,True,True
3,1,4,157.98015978263246,0.06167340783645515,False,True,True,True,True
3,1,4,25.264018962219474,0.09368430632538204,True,True,True,True,True
3,1,4,430.3702491095124,0.10625600498872964,False,False,False,False,False
3,1,4,29.021932943332438,0.060324930323774985,True,True,True,True,True
3,1,4,25.183502834354584,0.04949158987142618,True,True,True,True,True
3,1,4,26.363336103365445,0.11809701269748128,True,True,True,True,True
3,1,4,26.67865790961595,0.2416423035480337,True,True,True,True,True
3,1,4,17.717847750587897,0.11591011799168775,True,True,True,True,True
3,1,4,41.28231845968059,0.11893903751084184,True,True,True,True,True
